"Data Source","World Development Indicators",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","44.732","45.826","46.716","47.44","47.428","47.375","47.283","47.209","46.827","45.783","44.769","44.017","43.31","43.14","43.121","43.221","43.48","43.848","43.956","44.113","44.529","45.558","47.655","49.811","51.578","52.848","54.444","56.2","57.938","59.254","59.5","57.007","50.119","47.146","44.065","43.239","41.874","40.793","38.001","40.549","43.729","40.463","38.185","37.807","38.761","40.121","41.03","40.863","40.316","40.324","40.073","39.793","38.299","36.672","34.863","32.348","30.102","27.289","24.049","22.123","20.554","18.615","18.768","18.788","","",
"Africa Eastern and Southern","AFE","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","135.792572073818","136.888216919735","138.053698755881","139.371648570937","140.741498203574","141.786497036316","143.165158105613","144.104823931866","144.357454874273","145.880013498727","147.379899902999","150.707436021614","152.078938302936","151.450203921835","151.188453767075","150.199032174416","149.077649149359","147.585288849745","145.890644750894","144.139763378164","141.509634501187","140.915576842909","139.740235648671","138.64210809449","137.818065317565","136.627224958936","135.265026667325","134.280659979409","133.273428879849","131.812896902634","132.286460608398","131.271877424366","127.640646693973","129.57176698141","129.21370585716","127.502577019137","128.885821230585","126.142263178949","124.926715155419","125.915379407711","123.976237718609","124.164420091379","122.665294811491","120.718814338209","120.148753974498","118.822939653886","117.176749755108","115.165815365545","114.197539284159","111.963698881469","110.81434129781","110.483799066179","108.512370285828","106.821270647567","106.280004007349","103.784094581628","101.266398602231","99.2944286821449","98.082042012069","97.1897867960092","95.7413392620296","94.6595133310708","93.379388849822","92.3064528575241","","",
"Afghanistan","AFG","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","140.598","139.838","139.385","139.392","139.821","140.822","141.668","141.451","140.485","139.348","138.511","138.573","138.421","138","137.69","136.927","136.237","135.728","134.837","133.105","131.709","129.281","126.946","127.712","128.338","129.249","128.502","127.594","132.394","135.757","139.376","145.383","147.499","149.461","156.835","158.315","157.603","158.761","155.942","156.365","154.31","152.471","150.161","143.75","136.93","130.838","121.635","117.754","118.979","109.655","105.648","101.659","95.245","89.337","84.069","81.043","78.13","75.3","73.021","70.967","68.877","66.599","65.339","64.068","","",
"Africa Western and Central","AFW","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","161.129238387159","164.714428669333","168.313285218823","169.414926668968","169.655556996365","168.904692246142","166.858177029373","165.009441569911","163.718203481578","165.877052426488","166.845201680006","168.18981028821","170.380815060877","172.973466277333","176.686337782039","176.90294325994","174.541592658499","172.362666007668","170.002572493332","168.761522361634","166.906287880327","162.8821543425","160.156516091886","160.865033972631","157.345802704834","156.132957467218","152.538811032589","151.641997481137","148.27323331274","147.837778850261","145.67413346786","143.178788210512","141.362260785588","138.582955236123","136.138818245646","137.089568858107","134.612371497935","133.296322781272","133.112214384341","133.464907697975","134.894410270337","134.074915780498","133.039677823581","133.807127603077","130.693139867017","131.095237273672","130.277146636882","128.851679806521","128.414315813664","128.160193786818","127.125666242752","127.431902446658","126.531051307217","125.732823611246","122.733638963806","117.895754589355","113.067735137951","108.494920983919","104.930454116342","101.366484893598","98.483243327273","97.1992096522413","95.9577870049264","94.9696321003397","","",
"Angola","AGO","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","92.548","93.925","95.505","97.611","100.246","102.494","103.602","103.782","103.768","104.573","105.786","106.43","107.214","108.024","108.722","109.362","109.898","110.362","110.874","111.414","111.974","112.519","112.971","117.37","122.639","128.12","133.196","138.124","141.818","143.811","145.432","148.019","148.957","149.975","151.929","151.604","151.207","151.065","149.649","147.749","147.693","147.253","150.196","152.242","155.118","157.066","158.737","159.675","160.424","162.773","160.204","157.573","155.512","153.536","151.577","150.244","148.905","147.407","146.305","145.094","144.329","143.383","141.978","140.84","","",
"Albania","ALB","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","62.106","60.176","48.794","39.499","36.886","40.206","42.589","44.935","46.401","43.03","35.585","30.102","29.372","29.064","29.423","30.289","28.503","27.215","25.008","23.261","21.422","19.059","17.283","16.652","15.456","15.632","16.135","15.571","16.177","15.974","15.828","15.684","17.235","19.007","20.968","21.862","15.129","19.295","17.946","16.131","14.743","8.811","13.511","15.889","17.662","18.216","16.517","15.882","18.855","19.237","19.725","20.638","21.339","21.632","21.767","20.656","18.518","16.778","15.456","14.949","14.004","13.002","12.827","12.789","","",
"Andorra","AND","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","9.31","9.781","10.371","10.761","11.254","11.434","11.374","11.368","11.512","12.076","13.132","14.593","16.187","17.527","19.107","19.832","20.188","20.716","20.677","20.634","21.523","21.123","19.817","17.653","16.093","15.251","14.625","13.885","13.058","12.748","12.112","11.785","11.043","10.146","9.657","9.247","9.102","9.236","9.322","9.69","9.075","9.84","9.384","8.335","8.712","9.064","9.383","9.034","9.328","8.092","8.037","7.621","6.616","5.362","4.947","4.936","4.576","4.326","3.832","3.526","3.119","3.5","3.527","3.48","","",
"Arab World","ARB","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","136.134211418799","135.834647522372","136.631490322572","136.475576776425","134.629473409218","132.362906597389","132.913014108837","129.645799191271","125.037932373762","121.936754059012","118.451245579041","118.154550189517","116.950981084708","114.185230066704","112.265172630143","110.857441167873","107.36898679771","103.870221586991","101.84239585983","98.5471949279388","98.4142683009669","96.4523324410379","94.4270341667627","92.8896183181684","88.5212809869928","85.2932748014106","80.7261374046198","76.8011892690328","75.4311665391219","72.9870016054135","70.6319430490351","69.6303603635782","68.0270992901315","66.7063870995782","65.0825494050937","62.686586194184","60.3677131574424","59.1057302258807","57.1760308262343","56.2546281641195","55.3457901016305","54.2744831205463","53.3509747451134","53.4529533711242","53.328482889199","53.5610562945196","54.2516795048847","54.3604157424274","53.7586845419274","53.8579989173615","54.1352702634522","54.0444839925557","54.1955427774325","54.3389363832737","53.9058375875414","53.336490278498","51.8724233816746","51.0735774541458","49.1608732965002","47.9923596700881","47.305824741482","46.2122880151709","45.4494514185272","44.7865562834154","","",
"United Arab Emirates","ARE","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","155.143","155.111","155.129","155.579","155.795","155.802","155.76","156.336","157.319","157.505","156.519","154.512","151.944","148.683","146.143","144.479","142.563","141.084","139.142","135.061","129.986","122.175","115.038","107.637","100.835","93.346","82.778","72.626","64.693","57.786","51.026","43.395","41.655","39.752","42.797","36.009","32.739","27.393","24.743","24.101","24.91","24.588","24.745","25.441","25.461","27.083","25.138","19.697","13.084","11.779","11.4","10.103","8.785","7.941","6.326","5.432","4.598","4.547","3.74","3.292","3.032","2.563","2.879","3.103","","",
"Argentina","ARG","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","57.156","56.23","56.638","56.446","56.687","56.159","56.354","57.678","59.182","61.715","64.405","65.799","67.387","69.103","71.027","73.076","74.913","76.634","77.695","78.328","77.928","76.742","74.387","72.277","71.778","71.071","71.02","70.274","70.327","69.54","70.303","70.591","69.884","70.028","70.492","70.296","69.91","69.863","68.56","67.391","65.808","63.491","62.126","60.002","61.681","63.546","64.156","64.562","66.357","65.923","65.927","66.764","64.852","66.104","66.613","63.879","58.79","55.022","49.926","41.751","31.492","28.54","25.767","26.414","","",
